item,price_usd,unit,currency,area_code,year,period,series_id
"flour, white, all-purpose",0.549,per_lb,USD,0000,2026,M03,APU0000701111
"rice, white, long-grain, uncooked",1.353,per_lb,USD,0000,1981,M12,APU0000701311
"bread, white, pan",1.808,per_lb,USD,0000,2026,M03,APU0000702111
"bread, whole wheat, pan",2.747,per_lb,USD,0000,2026,M03,APU0000702212
spaghetti and macaroni,6.701,per_lb,USD,0000,2026,M03,APU0000703112
"cereal, ready-to-eat",9.61,per_lb,USD,0000,2026,M03,APU0000703511
"ground beef, 100% beef",6.801,per_lb,USD,0000,2026,M03,APU0000704111
"ground chuck, 100% beef",4.571,per_lb,USD,0000,2026,M03,APU0000704211
"ground beef, lean and extra lean",2.352,per_lb,USD,0000,2016,M06,APU0000704311
"chicken, fresh, whole",2.033,per_lb,USD,0000,2026,M03,APU0000706111
"eggs, grade a, large",2.348,per_dozen,USD,0000,2026,M03,APU0000708111
"milk, fresh, whole, fortified",4.067,per_gallon,USD,0000,2026,M03,APU0000709112
"ice cream, prepackaged, bulk, regular",6.191,per_half_gallon,USD,0000,2026,M03,APU0000710411
"cheese, cheddar, natural",5.97,per_lb,USD,0000,2026,M03,APU0000710212
"oranges, navel",0.657,per_lb,USD,0000,2026,M03,APU0000711211
grapefruit,1.483,per_lb,USD,0000,2026,M03,APU0000711311
lemons,2.582,per_lb,USD,0000,2026,M03,APU0000711415
"potatoes, white",0.847,per_lb,USD,0000,2026,M03,APU0000712112
"lettuce, iceberg",1.719,per_lb,USD,0000,2026,M03,APU0000712211
"tomatoes, field-grown",2.255,per_lb,USD,0000,2026,M03,APU0000712311
"sugar, white",1.696,per_lb,USD,0000,2026,M03,APU0000714233
"coffee, 100%, ground roast",9.608,per_lb,USD,0000,2026,M03,APU0000717311
"wine, red and white, table, all sizes",1.852,per_litre,USD,0000,2026,M03,APU0000720111
"bacon, sliced",4.172,per_lb,USD,0000,2026,M03,APU0000FF1101
"apples, red delicious",2.204,per_lb,USD,0000,2026,M03,APU0000FN1101
