code,activity_name,category,met_value,source,snapshot_date
01010,"bicycling, leisure, slow",bicycling,4.0,compendium_2024,2024-01
01015,"bicycling, leisure, moderate",bicycling,6.8,compendium_2024,2024-01
01020,"bicycling, vigorous, racing",bicycling,10.0,compendium_2024,2024-01
01030,"bicycling, mountain",bicycling,8.5,compendium_2024,2024-01
01040,"bicycling, stationary, light",bicycling,5.5,compendium_2024,2024-01
01050,"bicycling, stationary, moderate",bicycling,7.0,compendium_2024,2024-01
01060,"bicycling, stationary, vigorous",bicycling,10.5,compendium_2024,2024-01
02010,"calisthenics, light",conditioning,3.5,compendium_2024,2024-01
02011,"calisthenics, moderate",conditioning,4.5,compendium_2024,2024-01
02012,"calisthenics, vigorous",conditioning,8.0,compendium_2024,2024-01
02013,"circuit training, general",conditioning,8.0,compendium_2024,2024-01
02020,"weight lifting, light",conditioning,3.5,compendium_2024,2024-01
02022,"weight lifting, vigorous",conditioning,5.0,compendium_2024,2024-01
02030,"rowing, stationary, moderate",conditioning,4.8,compendium_2024,2024-01
02035,"rowing, stationary, vigorous",conditioning,8.5,compendium_2024,2024-01
02040,"elliptical trainer, moderate",conditioning,5.0,compendium_2024,2024-01
02045,"elliptical trainer, vigorous",conditioning,8.0,compendium_2024,2024-01
02050,"stair-treadmill ergometer, general",conditioning,9.0,compendium_2024,2024-01
02060,"yoga, hatha",conditioning,2.5,compendium_2024,2024-01
02061,"yoga, vinyasa",conditioning,3.3,compendium_2024,2024-01
02062,"yoga, power",conditioning,4.0,compendium_2024,2024-01
02063,"yoga, ashtanga",conditioning,4.0,compendium_2024,2024-01
02065,"pilates, general",conditioning,3.0,compendium_2024,2024-01
02070,tai chi,conditioning,3.0,compendium_2024,2024-01
02080,"stretching, mild",conditioning,2.3,compendium_2024,2024-01
02085,core strengthening exercise,conditioning,3.8,compendium_2024,2024-01
02090,kettlebell training,conditioning,9.8,compendium_2024,2024-01
02100,resistance band training,conditioning,3.5,compendium_2024,2024-01
03015,"ballet, modern, twist, jazz, tap",dancing,5.0,compendium_2024,2024-01
03020,"aerobic dance, low impact",dancing,5.0,compendium_2024,2024-01
