age_sex_group,weekly_cost_thrifty_usd,weekly_cost_low_usd,weekly_cost_moderate_usd,weekly_cost_liberal_usd,snapshot_date
child_1_3_years,34.1,44.2,55.4,66.8,2024-06
child_4_5_years,36.3,47.3,58.4,70.4,2024-06
child_6_8_years,46.1,60.3,74.5,88.4,2024-06
child_9_11_years,54.1,70.5,87.0,102.1,2024-06
male_12_13_years,56.4,74.4,92.3,109.5,2024-06
male_14_18_years,60.2,79.3,98.2,117.1,2024-06
male_19_50_years,62.4,82.3,102.1,121.4,2024-06
male_51_70_years,58.1,76.0,94.3,111.5,2024-06
male_71_plus_years,57.5,75.3,93.5,110.5,2024-06
female_12_13_years,53.8,70.9,88.0,104.4,2024-06
female_14_18_years,52.1,68.7,85.1,101.1,2024-06
female_19_50_years,54.4,71.8,89.1,105.8,2024-06
female_51_70_years,52.3,68.5,85.0,100.5,2024-06
female_71_plus_years,51.2,67.1,83.2,98.4,2024-06
pregnant_or_lactating,59.1,78.0,96.8,114.8,2024-06
