provider,category,signal,n,mean,std,median,q1,q3,min,max
anthropic,cultural,cosine_full,20,0.3688,0.1113,0.3483,0.3136,0.4505,0.1624,0.5706
anthropic,cultural,cosine_ingredients,20,0.5453,0.3783,0.3544,0.1887,1.0,0.138,1.0
anthropic,cultural,cosine_structural,20,0.0923,0.1043,0.0386,0.0042,0.1827,0.0,0.2965
anthropic,cultural,jaccard_ingredients,20,0.5894,0.4396,0.8631,0.0,0.9465,0.0,1.0
anthropic,financial,cosine_full,20,0.2776,0.0795,0.2533,0.2264,0.3264,0.1529,0.4232
anthropic,financial,cosine_ingredients,20,0.2058,0.1941,0.1745,0.1187,0.2141,0.035,1.0
anthropic,financial,cosine_structural,20,0.0756,0.1038,0.0411,0.0,0.0654,0.0,0.3963
anthropic,financial,jaccard_ingredients,20,0.7824,0.208,0.8377,0.7486,0.9174,0.0,0.9615
anthropic,lifestyle,cosine_full,20,0.2717,0.084,0.2384,0.2203,0.3359,0.1362,0.4606
anthropic,lifestyle,cosine_ingredients,20,0.4421,0.378,0.2262,0.1406,1.0,0.0682,1.0
anthropic,lifestyle,cosine_structural,20,0.0523,0.0578,0.0474,0.0145,0.0604,0.0,0.2624
anthropic,lifestyle,jaccard_ingredients,20,0.7521,0.327,0.8673,0.75,0.9435,0.0,1.0
deepseek,cultural,cosine_full,20,0.2816,0.1142,0.2345,0.2077,0.3528,0.0972,0.5544
deepseek,cultural,cosine_ingredients,20,0.5091,0.3652,0.3037,0.207,1.0,0.1613,1.0
deepseek,cultural,cosine_structural,20,0.1119,0.1137,0.0694,0.0075,0.2136,0.0,0.3209
deepseek,cultural,jaccard_ingredients,20,0.6539,0.4324,0.9232,0.0,0.9566,0.0,1.0
deepseek,financial,cosine_full,20,0.2053,0.0899,0.19,0.1525,0.25,0.1095,0.5205
deepseek,financial,cosine_ingredients,20,0.2243,0.1977,0.1861,0.1209,0.2372,0.0666,1.0
deepseek,financial,cosine_structural,20,0.0791,0.1017,0.04,0.011,0.0835,0.0,0.3894
deepseek,financial,jaccard_ingredients,20,0.8662,0.1024,0.8831,0.8102,0.9334,0.6471,1.0
deepseek,lifestyle,cosine_full,20,0.1926,0.0563,0.2021,0.1708,0.2219,0.095,0.3294
deepseek,lifestyle,cosine_ingredients,20,0.4094,0.392,0.16,0.1143,1.0,0.0888,1.0
deepseek,lifestyle,cosine_structural,20,0.0509,0.0274,0.0437,0.0301,0.0733,0.0,0.108
deepseek,lifestyle,jaccard_ingredients,20,0.7217,0.3218,0.7983,0.7319,0.9323,0.0,1.0
groq,cultural,cosine_full,20,0.2806,0.1134,0.2529,0.1993,0.3278,0.1326,0.6127
groq,cultural,cosine_ingredients,20,0.5026,0.3748,0.3181,0.179,1.0,0.092,1.0
groq,cultural,cosine_structural,20,0.073,0.0936,0.028,0.0,0.0954,0.0,0.2965
groq,cultural,jaccard_ingredients,20,0.6198,0.414,0.8462,0.0,0.9228,0.0,1.0
groq,financial,cosine_full,20,0.2863,0.1612,0.2188,0.189,0.3546,0.1136,0.8198
groq,financial,cosine_ingredients,20,0.2457,0.1949,0.1803,0.1383,0.2838,0.0634,1.0
groq,financial,cosine_structural,20,0.0995,0.1199,0.0419,0.0069,0.1267,0.0,0.366
groq,financial,jaccard_ingredients,20,0.8106,0.2079,0.8618,0.7855,0.9088,0.0,1.0
groq,lifestyle,cosine_full,20,0.2387,0.0654,0.2264,0.2019,0.2852,0.1285,0.3547
groq,lifestyle,cosine_ingredients,20,0.4164,0.3886,0.2081,0.1234,1.0,0.0448,1.0
groq,lifestyle,cosine_structural,20,0.0668,0.0414,0.0558,0.0473,0.0918,0.0,0.1546
groq,lifestyle,jaccard_ingredients,20,0.7029,0.3113,0.806,0.694,0.8532,0.0,1.0
openai,cultural,cosine_full,20,0.27,0.1124,0.2572,0.1777,0.3667,0.0872,0.4869
openai,cultural,cosine_ingredients,20,0.4862,0.3754,0.2575,0.1923,1.0,0.0591,1.0
openai,cultural,cosine_structural,20,0.061,0.0844,0.0272,0.0064,0.0686,0.0,0.2965
openai,cultural,jaccard_ingredients,20,0.6064,0.4054,0.8284,0.0,0.8908,0.0,1.0
openai,financial,cosine_full,20,0.2064,0.1069,0.18,0.1339,0.265,0.0767,0.5406
openai,financial,cosine_ingredients,20,0.2069,0.2,0.1497,0.1177,0.1943,0.0529,1.0
openai,financial,cosine_structural,20,0.0752,0.0919,0.0403,0.0111,0.0839,0.0,0.3298
openai,financial,jaccard_ingredients,20,0.7493,0.2154,0.8043,0.6653,0.8686,0.0,1.0
openai,lifestyle,cosine_full,20,0.154,0.0476,0.1415,0.122,0.1877,0.0783,0.2619
openai,lifestyle,cosine_ingredients,20,0.3365,0.3852,0.1285,0.1001,0.4421,0.0581,1.0
openai,lifestyle,cosine_structural,20,0.049,0.045,0.0501,0.012,0.0739,0.0,0.1803
openai,lifestyle,jaccard_ingredients,20,0.6542,0.3031,0.7006,0.6563,0.8221,0.0,1.0
