provider_x,provider_y,dimension,n_total,n_x_wins,n_y_wins,n_ties,n_unparsed,x_winrate_excl_ties,x_winrate_ci_low,x_winrate_ci_high
anthropic,deepseek,affordability,60,16,44,0,0,0.267,0.171,0.39
anthropic,deepseek,cultural,60,6,54,0,0,0.1,0.047,0.201
anthropic,deepseek,feasibility,60,9,51,0,0,0.15,0.081,0.261
anthropic,groq,affordability,60,50,10,0,0,0.833,0.72,0.907
anthropic,groq,cultural,60,33,27,0,0,0.55,0.425,0.669
anthropic,groq,feasibility,60,48,12,0,0,0.8,0.682,0.882
deepseek,groq,affordability,60,49,11,0,0,0.817,0.701,0.894
deepseek,groq,cultural,60,52,8,0,0,0.867,0.758,0.931
deepseek,groq,feasibility,60,52,8,0,0,0.867,0.758,0.931
openai,anthropic,affordability,60,11,48,1,0,0.186,0.107,0.304
openai,anthropic,cultural,60,33,27,0,0,0.55,0.425,0.669
openai,anthropic,feasibility,60,24,36,0,0,0.4,0.286,0.526
openai,deepseek,affordability,60,11,49,0,0,0.183,0.106,0.299
openai,deepseek,cultural,60,16,44,0,0,0.267,0.171,0.39
openai,deepseek,feasibility,60,6,54,0,0,0.1,0.047,0.201
openai,groq,affordability,60,35,23,2,0,0.603,0.475,0.719
openai,groq,cultural,60,40,18,2,0,0.69,0.562,0.794
openai,groq,feasibility,60,45,15,0,0,0.75,0.628,0.842
