provider,prompt_id,category,variant,category_type,wd_matched,wd_total,wd_coverage,western_centricity,western_tag_count,total_tag_count,bls_matched,bls_total_unique,bls_coverage,estimated_weekly_cost_usd,cost_period_status,thrifty_classification,thrifty_ratio,household_size,household_type,thrifty_tier_usd,has_fitness_content,comp_matched,comp_total,comp_coverage,total_logged_minutes,moderate_equivalent_minutes,time_horizon,feasibility_assessment
openai,cul_base_01,cultural,baseline,,15,15,1.0,0.0,0,15,0,13,0.0,,no_cost,no_cost_provided,,4,family_with_children,217.0,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,cul_base_02,cultural,baseline,,53,53,1.0,0.013,1,77,1,48,0.020833333333333332,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,multi_day,no_fitness_content
openai,cul_base_03,cultural,baseline,,9,9,1.0,0.0,0,9,0,9,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_04,cultural,baseline,,26,26,1.0,0.129,4,31,0,21,0.0,,no_cost,no_cost_provided,,4,unspecified,217.6,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,cul_base_05,cultural,baseline,,22,22,1.0,0.059,2,34,2,17,0.11764705882352941,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_06,cultural,baseline,,19,22,0.8636363636363636,0.0,0,21,0,21,0.0,,no_cost,no_cost_provided,,4,family_with_children,217.0,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_07,cultural,baseline,,26,30,0.8666666666666667,0.031,1,32,1,28,0.03571428571428571,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_08,cultural,baseline,,4,14,0.2857142857142857,0.25,1,4,0,8,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_09,cultural,baseline,,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,0,11,0.0,0.0,0.0,weekly,no_fitness_content
openai,cul_base_10,cultural,baseline,,1,1,1.0,0.0,0,1,0,1,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,0,1,0.0,0.0,0.0,,indeterminate_horizon
openai,cul_base_11,cultural,baseline,,1,1,1.0,0.0,0,1,0,1,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_12,cultural,baseline,,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,0,7,0.0,0.0,0.0,weekly,no_fitness_content
openai,cul_base_13,cultural,baseline,,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,1,1,1.0,0.0,0.0,,indeterminate_horizon
openai,cul_base_14,cultural,baseline,,20,30,0.6666666666666666,0.0,0,24,3,24,0.125,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,single_day,no_fitness_content
openai,cul_base_15,cultural,baseline,,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,4,13,0.3076923076923077,0.0,0.0,open_ended,indeterminate_horizon
openai,cul_base_16,cultural,baseline,,6,8,0.75,0.0,0,6,1,8,0.125,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_17,cultural,baseline,,7,8,0.875,0.0,0,7,0,7,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_18,cultural,baseline,,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,True,2,10,0.2,0.0,0.0,open_ended,indeterminate_horizon
openai,cul_base_19,cultural,baseline,,0,0,0.0,,0,0,0,0,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,cul_base_20,cultural,baseline,,9,18,0.5,0.0,0,15,1,12,0.08333333333333333,,no_cost,no_cost_provided,,,unspecified,61.44,True,0,5,0.0,0.0,0.0,single_day,indeterminate_horizon
openai,fin_base_01,financial,baseline,,7,7,1.0,0.286,2,7,0,6,0.0,,no_cost,no_cost_provided,,,single,65.28,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
openai,fin_base_02,financial,baseline,,8,17,0.47058823529411764,0.053,1,19,0,17,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,fin_base_03,financial,baseline,,14,17,0.8235294117647058,0.056,1,18,0,16,0.0,,no_cost,no_cost_provided,,,unspecified,65.28,False,0,0,0.0,0.0,0.0,,no_fitness_content
openai,fin_base_04,financial,baseline,,51,64,0.796875,0.075,6,80,5,57,0.08771929824561403,,no_cost,no_cost_provided,,4,family_with_children,217.0,False,0,0,0.0,0.0,0.0,weekly,no_fitness_content
openai,fin_base_05,financial,baseline,,13,14,0.9285714285714286,0.0,0,13,0,12,0.0,,no_cost,no_cost_provided,,4,family_with_children,217.0,False,0,0,0.0,0.0,0.0,single_meal,no_fitness_content
