provider,category,n_responses,wikidata_coverage_avg,bls_coverage_avg,compendium_coverage_avg_fitness_only,fitness_response_count,western_centricity_avg,western_centricity_responses_counted
anthropic,cultural,20,0.472,0.041,0.204,6,0.059,12
anthropic,financial,20,0.729,0.066,0.0,2,0.041,19
anthropic,lifestyle,20,0.548,0.097,0.051,13,0.026,17
deepseek,cultural,20,0.516,0.031,0.154,6,0.064,13
deepseek,financial,20,0.727,0.049,0.0,2,0.032,19
deepseek,lifestyle,20,0.593,0.039,0.084,13,0.046,17
groq,cultural,20,0.509,0.053,0.311,7,0.043,13
groq,financial,20,0.692,0.055,0.179,2,0.036,19
groq,lifestyle,20,0.466,0.058,0.129,13,0.043,14
openai,cultural,20,0.59,0.025,0.215,7,0.034,14
openai,financial,20,0.763,0.021,0.125,2,0.052,19
openai,lifestyle,20,0.601,0.045,0.061,13,0.038,17
