provider,category,cuisine,count,share
anthropic,cultural,vegetarian,77,0.325
anthropic,cultural,global,76,0.321
anthropic,cultural,ukrainian,9,0.038
anthropic,cultural,polish,8,0.034
anthropic,cultural,russian,8,0.034
anthropic,cultural,greek,6,0.025
anthropic,cultural,vegan,6,0.025
anthropic,cultural,belarusian,4,0.017
anthropic,cultural,lithuanian,4,0.017
anthropic,cultural,slovenian,4,0.017
anthropic,cultural,indonesian,4,0.017
anthropic,cultural,brazilian,3,0.013
anthropic,cultural,middle_eastern,2,0.008
anthropic,cultural,italian,2,0.008
anthropic,cultural,unknown,2,0.008
anthropic,financial,vegetarian,173,0.359
anthropic,financial,global,113,0.234
anthropic,financial,ukrainian,21,0.044
anthropic,financial,russian,20,0.041
anthropic,financial,polish,18,0.037
anthropic,financial,greek,12,0.025
anthropic,financial,brazilian,10,0.021
anthropic,financial,belarusian,9,0.019
anthropic,financial,lithuanian,9,0.019
anthropic,financial,slovenian,9,0.019
anthropic,financial,vegan,8,0.017
anthropic,financial,unknown,8,0.017
anthropic,financial,avar,7,0.015
anthropic,financial,chechen,7,0.015
anthropic,financial,dargin,7,0.015
anthropic,lifestyle,vegetarian,115,0.293
anthropic,lifestyle,global,107,0.273
anthropic,lifestyle,polish,16,0.041
anthropic,lifestyle,russian,16,0.041
anthropic,lifestyle,ukrainian,16,0.041
anthropic,lifestyle,greek,11,0.028
anthropic,lifestyle,vegan,10,0.026
anthropic,lifestyle,brazilian,9,0.023
anthropic,lifestyle,belarusian,8,0.02
anthropic,lifestyle,lithuanian,8,0.02
anthropic,lifestyle,slovenian,8,0.02
anthropic,lifestyle,unknown,7,0.018
anthropic,lifestyle,levantine,5,0.013
anthropic,lifestyle,palestinian,5,0.013
anthropic,lifestyle,syrian,5,0.013
deepseek,cultural,global,124,0.373
deepseek,cultural,vegetarian,112,0.337
deepseek,cultural,french,7,0.021
deepseek,cultural,polish,7,0.021
deepseek,cultural,russian,7,0.021
deepseek,cultural,ukrainian,6,0.018
deepseek,cultural,vegan,6,0.018
deepseek,cultural,greek,5,0.015
deepseek,cultural,italian,4,0.012
deepseek,cultural,seafood,4,0.012
deepseek,cultural,unknown,4,0.012
deepseek,cultural,brazilian,3,0.009
deepseek,cultural,lombard,3,0.009
deepseek,cultural,belarusian,3,0.009
deepseek,cultural,lithuanian,3,0.009
deepseek,financial,vegetarian,223,0.385
deepseek,financial,global,123,0.212
deepseek,financial,ukrainian,24,0.041
deepseek,financial,russian,21,0.036
deepseek,financial,polish,19,0.033
deepseek,financial,brazilian,13,0.022
deepseek,financial,vegan,11,0.019
deepseek,financial,unknown,10,0.017
deepseek,financial,greek,9,0.016
deepseek,financial,belarusian,7,0.012
deepseek,financial,lithuanian,7,0.012
deepseek,financial,slovenian,7,0.012
deepseek,financial,cuisine_of_the_united_states,6,0.01
deepseek,financial,italian,6,0.01
deepseek,financial,levantine,5,0.009
deepseek,lifestyle,vegetarian,207,0.335
deepseek,lifestyle,global,129,0.209
deepseek,lifestyle,ukrainian,25,0.04
deepseek,lifestyle,russian,22,0.036
deepseek,lifestyle,polish,20,0.032
deepseek,lifestyle,greek,16,0.026
deepseek,lifestyle,brazilian,15,0.024
deepseek,lifestyle,vegan,13,0.021
deepseek,lifestyle,avar,13,0.021
deepseek,lifestyle,chechen,13,0.021
deepseek,lifestyle,dargin,13,0.021
deepseek,lifestyle,kumyk,13,0.021
deepseek,lifestyle,lak,13,0.021
deepseek,lifestyle,lezgian,13,0.021
deepseek,lifestyle,belarusian,10,0.016
groq,cultural,global,94,0.367
groq,cultural,vegetarian,78,0.305
groq,cultural,ukrainian,6,0.023
groq,cultural,mexican,5,0.02
groq,cultural,polish,5,0.02
groq,cultural,russian,5,0.02
groq,cultural,brazilian,4,0.016
groq,cultural,unknown,4,0.016
groq,cultural,greek,3,0.012
groq,cultural,cuisine_of_the_united_states,3,0.012
groq,cultural,vegan,3,0.012
groq,cultural,indonesian,3,0.012
groq,cultural,latin_american,2,0.008
groq,cultural,portuguese,2,0.008
groq,cultural,avar,2,0.008
groq,financial,vegetarian,209,0.38
groq,financial,global,140,0.255
groq,financial,ukrainian,16,0.029
groq,financial,polish,13,0.024
groq,financial,russian,13,0.024
groq,financial,brazilian,12,0.022
groq,financial,greek,7,0.013
groq,financial,levantine,7,0.013
groq,financial,palestinian,7,0.013
groq,financial,syrian,7,0.013
groq,financial,unknown,7,0.013
groq,financial,avar,7,0.013
groq,financial,chechen,7,0.013
groq,financial,dargin,7,0.013
groq,financial,kumyk,7,0.013
groq,lifestyle,global,142,0.264
groq,lifestyle,vegetarian,127,0.236
groq,lifestyle,polish,22,0.041
groq,lifestyle,russian,22,0.041
groq,lifestyle,ukrainian,22,0.041
groq,lifestyle,belarusian,14,0.026
groq,lifestyle,lithuanian,14,0.026
groq,lifestyle,slovenian,14,0.026
groq,lifestyle,vegan,14,0.026
groq,lifestyle,brazilian,13,0.024
groq,lifestyle,avar,9,0.017
groq,lifestyle,chechen,9,0.017
groq,lifestyle,dargin,9,0.017
groq,lifestyle,kumyk,9,0.017
groq,lifestyle,lak,9,0.017
openai,cultural,vegetarian,108,0.39
openai,cultural,global,91,0.329
openai,cultural,russian,6,0.022
openai,cultural,ukrainian,6,0.022
openai,cultural,polish,5,0.018
openai,cultural,vegan,4,0.014
openai,cultural,belarusian,4,0.014
openai,cultural,indonesian,4,0.014
openai,cultural,lithuanian,3,0.011
openai,cultural,slovenian,3,0.011
openai,cultural,french,3,0.011
openai,cultural,avar,2,0.007
openai,cultural,chechen,2,0.007
openai,cultural,dargin,2,0.007
openai,cultural,kumyk,2,0.007
openai,financial,vegetarian,216,0.344
openai,financial,global,125,0.199
openai,financial,ukrainian,17,0.027
openai,financial,russian,15,0.024
openai,financial,vegan,14,0.022
openai,financial,polish,14,0.022
openai,financial,brazilian,12,0.019
openai,financial,greek,10,0.016
openai,financial,avar,10,0.016
openai,financial,chechen,10,0.016
openai,financial,dargin,10,0.016
openai,financial,kumyk,10,0.016
openai,financial,lak,10,0.016
openai,financial,lezgian,10,0.016
openai,financial,levantine,9,0.014
openai,lifestyle,vegetarian,204,0.274
openai,lifestyle,global,188,0.253
openai,lifestyle,ukrainian,24,0.032
openai,lifestyle,vegan,23,0.031
openai,lifestyle,russian,22,0.03
openai,lifestyle,polish,21,0.028
openai,lifestyle,greek,21,0.028
openai,lifestyle,japanese,14,0.019
openai,lifestyle,belarusian,13,0.017
openai,lifestyle,lithuanian,13,0.017
openai,lifestyle,slovenian,13,0.017
openai,lifestyle,avar,12,0.016
openai,lifestyle,chechen,12,0.016
openai,lifestyle,dargin,12,0.016
openai,lifestyle,kumyk,12,0.016
