provider,category,feasibility_class,count,share
anthropic,cultural,indeterminate_horizon,5,0.833
anthropic,cultural,minimal,1,0.167
anthropic,financial,indeterminate_horizon,2,1.0
anthropic,lifestyle,indeterminate_horizon,8,0.615
anthropic,lifestyle,no_fitness_content,4,0.308
anthropic,lifestyle,meets_who_guideline,1,0.077
deepseek,cultural,indeterminate_horizon,4,0.667
deepseek,cultural,minimal,1,0.167
deepseek,cultural,no_fitness_content,1,0.167
deepseek,financial,no_fitness_content,1,0.5
deepseek,financial,indeterminate_horizon,1,0.5
deepseek,lifestyle,indeterminate_horizon,7,0.538
deepseek,lifestyle,no_fitness_content,6,0.462
groq,cultural,indeterminate_horizon,6,0.857
groq,cultural,no_fitness_content,1,0.143
groq,financial,no_fitness_content,1,0.5
groq,financial,indeterminate_horizon,1,0.5
groq,lifestyle,indeterminate_horizon,7,0.538
groq,lifestyle,no_fitness_content,6,0.462
openai,cultural,indeterminate_horizon,5,0.714
openai,cultural,no_fitness_content,2,0.286
openai,financial,minimal,1,0.5
openai,financial,indeterminate_horizon,1,0.5
openai,lifestyle,indeterminate_horizon,7,0.538
openai,lifestyle,no_fitness_content,6,0.462
