provider,category,classification,count,share
anthropic,cultural,no_cost_provided,20,1.0
anthropic,financial,no_cost_provided,20,1.0
anthropic,lifestyle,no_cost_provided,20,1.0
deepseek,cultural,no_cost_provided,20,1.0
deepseek,financial,no_cost_provided,20,1.0
deepseek,lifestyle,no_cost_provided,20,1.0
groq,cultural,no_cost_provided,20,1.0
groq,financial,no_cost_provided,20,1.0
groq,lifestyle,no_cost_provided,20,1.0
openai,cultural,no_cost_provided,20,1.0
openai,financial,no_cost_provided,20,1.0
openai,lifestyle,no_cost_provided,20,1.0
