provider,category,n_responses,wikidata_coverage_avg,bls_coverage_avg,compendium_coverage_avg_fitness_only,fitness_response_count,western_centricity_avg,western_centricity_responses_counted
anthropic,cultural,20,0.439,0.023,0.211,8,0.034,13
anthropic,financial,20,0.712,0.122,0.333,3,0.036,19
anthropic,lifestyle,20,0.353,0.077,0.328,12,0.053,13
deepseek,cultural,20,0.411,0.031,0.244,8,0.036,14
deepseek,financial,20,0.687,0.096,0.357,2,0.036,20
deepseek,lifestyle,20,0.42,0.044,0.061,13,0.057,14
groq,cultural,20,0.441,0.039,0.184,7,0.024,14
groq,financial,20,0.67,0.101,0.2,2,0.053,19
groq,lifestyle,20,0.485,0.075,0.22,12,0.034,15
openai,cultural,20,0.443,0.046,0.125,7,0.015,14
openai,financial,20,0.705,0.082,0.0,2,0.03,19
openai,lifestyle,20,0.518,0.055,0.155,13,0.049,15
