provider,category,cuisine,count,share
anthropic,cultural,vegetarian,61,0.326
anthropic,cultural,global,45,0.241
anthropic,cultural,indian,16,0.086
anthropic,cultural,south_asian,7,0.037
anthropic,cultural,russian,7,0.037
anthropic,cultural,south_indian,5,0.027
anthropic,cultural,polish,5,0.027
anthropic,cultural,pakistani,4,0.021
anthropic,cultural,west_african_nigerian,4,0.021
anthropic,cultural,french,4,0.021
anthropic,cultural,ukrainian,3,0.016
anthropic,cultural,seafood,2,0.011
anthropic,cultural,british,2,0.011
anthropic,cultural,canadian,2,0.011
anthropic,cultural,cuisine_of_the_united_states,2,0.011
anthropic,financial,vegetarian,92,0.309
anthropic,financial,global,85,0.285
anthropic,financial,avar,10,0.034
anthropic,financial,chechen,10,0.034
anthropic,financial,dargin,10,0.034
anthropic,financial,kumyk,10,0.034
anthropic,financial,lak,10,0.034
anthropic,financial,lezgian,10,0.034
anthropic,financial,russian,8,0.027
anthropic,financial,polish,7,0.023
anthropic,financial,ukrainian,7,0.023
anthropic,financial,brazilian,5,0.017
anthropic,financial,belarusian,5,0.017
anthropic,financial,lithuanian,5,0.017
anthropic,financial,slovenian,5,0.017
anthropic,lifestyle,global,76,0.28
anthropic,lifestyle,vegetarian,54,0.199
anthropic,lifestyle,polish,12,0.044
anthropic,lifestyle,russian,12,0.044
anthropic,lifestyle,ukrainian,10,0.037
anthropic,lifestyle,belarusian,8,0.03
anthropic,lifestyle,lithuanian,8,0.03
anthropic,lifestyle,slovenian,8,0.03
anthropic,lifestyle,vegan,8,0.03
anthropic,lifestyle,indonesian,8,0.03
anthropic,lifestyle,greek,5,0.018
anthropic,lifestyle,levantine,5,0.018
anthropic,lifestyle,palestinian,5,0.018
anthropic,lifestyle,syrian,5,0.018
anthropic,lifestyle,italian,5,0.018
deepseek,cultural,vegetarian,86,0.335
deepseek,cultural,global,49,0.191
deepseek,cultural,indian,24,0.093
deepseek,cultural,south_asian,7,0.027
deepseek,cultural,russian,7,0.027
deepseek,cultural,polish,6,0.023
deepseek,cultural,south_indian,5,0.019
deepseek,cultural,chinese,5,0.019
deepseek,cultural,seafood,4,0.016
deepseek,cultural,indonesian,4,0.016
deepseek,cultural,japanese,4,0.016
deepseek,cultural,ukrainian,4,0.016
deepseek,cultural,french,3,0.012
deepseek,cultural,vegan,3,0.012
deepseek,cultural,greek,3,0.012
deepseek,financial,vegetarian,128,0.341
deepseek,financial,global,100,0.267
