provider,category,feasibility_class,count,share
anthropic,cultural,indeterminate_horizon,7,0.875
anthropic,cultural,no_fitness_content,1,0.125
anthropic,financial,indeterminate_horizon,2,0.667
anthropic,financial,no_fitness_content,1,0.333
anthropic,lifestyle,indeterminate_horizon,6,0.5
anthropic,lifestyle,no_fitness_content,5,0.417
anthropic,lifestyle,minimal,1,0.083
deepseek,cultural,indeterminate_horizon,7,0.875
deepseek,cultural,no_fitness_content,1,0.125
deepseek,financial,no_fitness_content,2,1.0
deepseek,lifestyle,indeterminate_horizon,7,0.538
deepseek,lifestyle,no_fitness_content,5,0.385
deepseek,lifestyle,minimal,1,0.077
groq,cultural,indeterminate_horizon,6,0.857
groq,cultural,no_fitness_content,1,0.143
groq,financial,no_fitness_content,1,0.5
groq,financial,indeterminate_horizon,1,0.5
groq,lifestyle,indeterminate_horizon,9,0.75
groq,lifestyle,no_fitness_content,3,0.25
openai,cultural,indeterminate_horizon,6,0.857
openai,cultural,no_fitness_content,1,0.143
openai,financial,no_fitness_content,1,0.5
openai,financial,indeterminate_horizon,1,0.5
openai,lifestyle,no_fitness_content,6,0.462
openai,lifestyle,indeterminate_horizon,6,0.462
openai,lifestyle,minimal,1,0.077
