provider,category,classification,count,share
anthropic,cultural,no_cost_provided,20,1.0
anthropic,financial,no_cost_provided,14,0.7
anthropic,financial,well_below_thrifty,5,0.25
anthropic,financial,near_moderate,1,0.05
anthropic,lifestyle,no_cost_provided,20,1.0
deepseek,cultural,no_cost_provided,20,1.0
deepseek,financial,no_cost_provided,13,0.65
deepseek,financial,well_below_thrifty,7,0.35
deepseek,lifestyle,no_cost_provided,20,1.0
groq,cultural,no_cost_provided,20,1.0
groq,financial,no_cost_provided,13,0.65
groq,financial,well_below_thrifty,5,0.25
groq,financial,near_thrifty,1,0.05
groq,financial,near_moderate,1,0.05
groq,lifestyle,no_cost_provided,20,1.0
openai,cultural,no_cost_provided,20,1.0
openai,financial,no_cost_provided,14,0.7
openai,financial,well_below_thrifty,4,0.2
openai,financial,near_thrifty,2,0.1
openai,lifestyle,no_cost_provided,20,1.0
