provider,category,n_responses,wikidata_coverage_avg,bls_coverage_avg,compendium_coverage_avg_fitness_only,fitness_response_count,western_centricity_avg,western_centricity_responses_counted
anthropic,cultural,40,0.456,0.032,0.208,14,0.046,25
anthropic,financial,40,0.72,0.094,0.2,5,0.039,38
anthropic,lifestyle,40,0.45,0.087,0.184,25,0.038,30
deepseek,cultural,40,0.464,0.031,0.205,14,0.05,27
deepseek,financial,40,0.707,0.073,0.179,4,0.034,39
deepseek,lifestyle,40,0.507,0.042,0.073,26,0.051,31
groq,cultural,40,0.475,0.046,0.248,14,0.033,27
groq,financial,40,0.681,0.078,0.189,4,0.044,38
groq,lifestyle,40,0.476,0.066,0.173,25,0.039,29
openai,cultural,40,0.517,0.036,0.17,14,0.025,28
openai,financial,40,0.734,0.051,0.062,4,0.041,38
openai,lifestyle,40,0.559,0.05,0.108,26,0.043,32
