provider,category,cuisine,count,share
anthropic,cultural,vegetarian,138,0.325
anthropic,cultural,global,121,0.285
anthropic,cultural,indian,16,0.038
anthropic,cultural,russian,15,0.035
anthropic,cultural,polish,13,0.031
anthropic,cultural,ukrainian,12,0.028
anthropic,cultural,vegan,8,0.019
anthropic,cultural,greek,7,0.017
anthropic,cultural,south_asian,7,0.017
anthropic,cultural,indonesian,6,0.014
anthropic,cultural,french,6,0.014
anthropic,cultural,brazilian,5,0.012
anthropic,cultural,belarusian,5,0.012
anthropic,cultural,lithuanian,5,0.012
anthropic,cultural,slovenian,5,0.012
anthropic,financial,vegetarian,265,0.34
anthropic,financial,global,198,0.254
anthropic,financial,russian,28,0.036
anthropic,financial,ukrainian,28,0.036
anthropic,financial,polish,25,0.032
anthropic,financial,avar,17,0.022
anthropic,financial,chechen,17,0.022
anthropic,financial,dargin,17,0.022
anthropic,financial,kumyk,17,0.022
anthropic,financial,lak,17,0.022
anthropic,financial,lezgian,17,0.022
anthropic,financial,greek,15,0.019
anthropic,financial,brazilian,15,0.019
anthropic,financial,belarusian,14,0.018
anthropic,financial,lithuanian,14,0.018
anthropic,lifestyle,global,183,0.276
anthropic,lifestyle,vegetarian,169,0.255
anthropic,lifestyle,polish,28,0.042
anthropic,lifestyle,russian,28,0.042
anthropic,lifestyle,ukrainian,26,0.039
anthropic,lifestyle,vegan,18,0.027
anthropic,lifestyle,greek,16,0.024
anthropic,lifestyle,belarusian,16,0.024
anthropic,lifestyle,lithuanian,16,0.024
anthropic,lifestyle,slovenian,16,0.024
anthropic,lifestyle,brazilian,11,0.017
anthropic,lifestyle,indonesian,11,0.017
anthropic,lifestyle,levantine,10,0.015
anthropic,lifestyle,palestinian,10,0.015
anthropic,lifestyle,syrian,10,0.015
deepseek,cultural,vegetarian,198,0.336
deepseek,cultural,global,173,0.294
deepseek,cultural,indian,25,0.042
deepseek,cultural,russian,14,0.024
deepseek,cultural,polish,13,0.022
deepseek,cultural,french,10,0.017
deepseek,cultural,ukrainian,10,0.017
deepseek,cultural,vegan,9,0.015
deepseek,cultural,seafood,8,0.014
deepseek,cultural,greek,8,0.014
deepseek,cultural,chinese,8,0.014
deepseek,cultural,japanese,7,0.012
deepseek,cultural,indonesian,7,0.012
deepseek,cultural,south_asian,7,0.012
deepseek,cultural,italian,5,0.008
deepseek,financial,vegetarian,351,0.368
deepseek,financial,global,223,0.234
deepseek,financial,ukrainian,33,0.035
deepseek,financial,russian,30,0.031
deepseek,financial,polish,26,0.027
deepseek,financial,vegan,18,0.019
deepseek,financial,brazilian,18,0.019
deepseek,financial,avar,15,0.016
deepseek,financial,chechen,15,0.016
deepseek,financial,dargin,15,0.016
deepseek,financial,kumyk,15,0.016
deepseek,financial,lak,15,0.016
deepseek,financial,lezgian,15,0.016
deepseek,financial,belarusian,13,0.014
deepseek,financial,lithuanian,13,0.014
deepseek,lifestyle,vegetarian,311,0.31
deepseek,lifestyle,global,214,0.213
deepseek,lifestyle,ukrainian,43,0.043
deepseek,lifestyle,russian,37,0.037
deepseek,lifestyle,polish,34,0.034
deepseek,lifestyle,greek,27,0.027
deepseek,lifestyle,vegan,25,0.025
deepseek,lifestyle,brazilian,22,0.022
deepseek,lifestyle,belarusian,19,0.019
deepseek,lifestyle,lithuanian,19,0.019
deepseek,lifestyle,slovenian,19,0.019
deepseek,lifestyle,avar,19,0.019
deepseek,lifestyle,chechen,19,0.019
deepseek,lifestyle,dargin,19,0.019
deepseek,lifestyle,kumyk,19,0.019
groq,cultural,vegetarian,158,0.335
groq,cultural,global,146,0.309
groq,cultural,indian,14,0.03
groq,cultural,russian,9,0.019
groq,cultural,ukrainian,9,0.019
groq,cultural,indonesian,9,0.019
groq,cultural,cuisine_of_the_united_states,8,0.017
groq,cultural,polish,8,0.017
groq,cultural,british,6,0.013
groq,cultural,canadian,6,0.013
groq,cultural,south_asian,6,0.013
groq,cultural,mexican,5,0.011
