provider,category,feasibility_class,count,share
anthropic,cultural,indeterminate_horizon,12,0.857
anthropic,cultural,minimal,1,0.071
anthropic,cultural,no_fitness_content,1,0.071
anthropic,financial,indeterminate_horizon,4,0.8
anthropic,financial,no_fitness_content,1,0.2
anthropic,lifestyle,indeterminate_horizon,14,0.56
anthropic,lifestyle,no_fitness_content,9,0.36
anthropic,lifestyle,meets_who_guideline,1,0.04
anthropic,lifestyle,minimal,1,0.04
deepseek,cultural,indeterminate_horizon,11,0.786
deepseek,cultural,no_fitness_content,2,0.143
deepseek,cultural,minimal,1,0.071
deepseek,financial,no_fitness_content,3,0.75
deepseek,financial,indeterminate_horizon,1,0.25
deepseek,lifestyle,indeterminate_horizon,14,0.538
deepseek,lifestyle,no_fitness_content,11,0.423
deepseek,lifestyle,minimal,1,0.038
groq,cultural,indeterminate_horizon,12,0.857
groq,cultural,no_fitness_content,2,0.143
groq,financial,no_fitness_content,2,0.5
groq,financial,indeterminate_horizon,2,0.5
groq,lifestyle,indeterminate_horizon,16,0.64
groq,lifestyle,no_fitness_content,9,0.36
openai,cultural,indeterminate_horizon,11,0.786
openai,cultural,no_fitness_content,3,0.214
openai,financial,indeterminate_horizon,2,0.5
openai,financial,minimal,1,0.25
openai,financial,no_fitness_content,1,0.25
openai,lifestyle,indeterminate_horizon,13,0.5
openai,lifestyle,no_fitness_content,12,0.462
openai,lifestyle,minimal,1,0.038
