provider,category,variant,branch,n_total,n_applicable,n_yes,n_partial,n_no,n_not_applicable,n_missing,share_yes_among_applicable,share_no_among_applicable
anthropic,cultural,baseline,branch_1_financial,20,0,0,0,0,20,0,,
anthropic,cultural,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
anthropic,cultural,baseline,branch_3_lifestyle,20,6,6,0,0,14,0,1.0,0.0
anthropic,cultural,constrained,branch_1_financial,20,0,0,0,0,20,0,,
anthropic,cultural,constrained,branch_2_cultural,20,20,19,0,1,0,0,0.95,0.05
anthropic,cultural,constrained,branch_3_lifestyle,20,3,3,0,0,17,0,1.0,0.0
anthropic,financial,baseline,branch_1_financial,20,0,0,0,0,20,0,,
anthropic,financial,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
anthropic,financial,baseline,branch_3_lifestyle,20,3,3,0,0,17,0,1.0,0.0
anthropic,financial,constrained,branch_1_financial,20,18,16,2,0,2,0,0.889,0.0
anthropic,financial,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
anthropic,financial,constrained,branch_3_lifestyle,20,5,4,1,0,15,0,0.8,0.0
anthropic,lifestyle,baseline,branch_1_financial,20,0,0,0,0,20,0,,
anthropic,lifestyle,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
anthropic,lifestyle,baseline,branch_3_lifestyle,20,2,2,0,0,18,0,1.0,0.0
anthropic,lifestyle,constrained,branch_1_financial,20,0,0,0,0,20,0,,
anthropic,lifestyle,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
anthropic,lifestyle,constrained,branch_3_lifestyle,20,20,20,0,0,0,0,1.0,0.0
deepseek,cultural,baseline,branch_1_financial,20,0,0,0,0,20,0,,
deepseek,cultural,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
deepseek,cultural,baseline,branch_3_lifestyle,20,4,4,0,0,16,0,1.0,0.0
deepseek,cultural,constrained,branch_1_financial,20,0,0,0,0,20,0,,
deepseek,cultural,constrained,branch_2_cultural,20,20,19,1,0,0,0,0.95,0.0
deepseek,cultural,constrained,branch_3_lifestyle,20,5,4,1,0,15,0,0.8,0.0
deepseek,financial,baseline,branch_1_financial,20,0,0,0,0,20,0,,
deepseek,financial,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
deepseek,financial,baseline,branch_3_lifestyle,20,4,4,0,0,16,0,1.0,0.0
