provider,category,variant,n_total,score_affordability_mean,score_affordability_n,score_cultural_mean,score_cultural_n,score_feasibility_mean,score_feasibility_n,score_adherence_mean,score_adherence_n,cosine_full_mean,cosine_full_n,cosine_ingredients_mean,cosine_ingredients_n,cosine_structural_mean,cosine_structural_n,jaccard_ingredients_mean,jaccard_ingredients_n,western_centricity_mean,western_centricity_n
anthropic,cultural,baseline,20,5.0,20,5.0,20,4.7,20,5.0,6,0.369,20,0.545,20,0.092,20,0.589,20,0.059,12
anthropic,cultural,constrained,20,5.0,20,4.95,20,4.3,20,4.9,20,0.369,20,0.545,20,0.092,20,0.589,20,0.034,13
anthropic,financial,baseline,20,5.0,20,5.0,20,4.55,20,5.0,3,0.278,20,0.206,20,0.076,20,0.782,20,0.041,19
anthropic,financial,constrained,20,3.95,20,5.0,20,4.1,20,4.8,20,0.278,20,0.206,20,0.076,20,0.782,20,0.036,19
anthropic,lifestyle,baseline,20,5.0,20,5.0,20,3.6,20,5.0,2,0.272,20,0.442,20,0.052,20,0.752,20,0.026,17
anthropic,lifestyle,constrained,20,5.0,20,5.0,20,4.25,20,5.0,20,0.272,20,0.442,20,0.052,20,0.752,20,0.053,13
deepseek,cultural,baseline,20,5.0,20,5.0,20,4.6,20,5.0,4,0.282,20,0.509,20,0.112,20,0.654,20,0.064,13
deepseek,cultural,constrained,20,5.0,20,5.0,20,4.4,20,4.9,20,0.282,20,0.509,20,0.112,20,0.654,20,0.036,14
deepseek,financial,baseline,20,5.0,20,5.0,20,4.45,20,5.0,4,0.205,20,0.224,20,0.079,20,0.866,20,0.032,19
deepseek,financial,constrained,20,4.8,20,5.0,20,4.35,20,4.8,20,0.205,20,0.224,20,0.079,20,0.866,20,0.036,20
deepseek,lifestyle,baseline,20,5.0,20,5.0,20,3.8,20,5.0,3,0.193,20,0.409,20,0.051,20,0.722,20,0.046,17
deepseek,lifestyle,constrained,20,5.0,20,5.0,20,4.3,20,5.0,20,0.193,20,0.409,20,0.051,20,0.722,20,0.057,14
groq,cultural,baseline,20,5.0,20,5.0,20,4.55,20,5.0,3,0.281,20,0.503,20,0.073,20,0.62,20,0.043,13
groq,cultural,constrained,20,5.0,20,4.8,20,4.1,20,4.85,20,0.281,20,0.503,20,0.073,20,0.62,20,0.024,14
groq,financial,baseline,20,5.0,20,5.0,20,4.45,20,5.0,2,0.286,20,0.246,20,0.099,20,0.811,20,0.036,19
groq,financial,constrained,20,4.3,20,5.0,20,4.2,20,5.0,19,0.286,20,0.246,20,0.099,20,0.811,20,0.053,19
groq,lifestyle,baseline,20,5.0,20,5.0,20,3.35,20,,0,0.239,20,0.416,20,0.067,20,0.703,20,0.043,14
groq,lifestyle,constrained,20,5.0,20,5.0,20,3.8,20,5.0,20,0.239,20,0.416,20,0.067,20,0.703,20,0.034,15
openai,cultural,baseline,20,5.0,20,5.0,20,4.5,20,5.0,2,0.27,20,0.486,20,0.061,20,0.606,20,0.034,14
openai,cultural,constrained,20,5.0,20,4.75,20,4.25,20,4.9,20,0.27,20,0.486,20,0.061,20,0.606,20,0.015,14
openai,financial,baseline,20,5.0,20,5.0,20,4.7,20,5.0,2,0.206,20,0.207,20,0.075,20,0.749,20,0.052,19
openai,financial,constrained,20,3.8,20,5.0,20,4.1,20,4.579,19,0.206,20,0.207,20,0.075,20,0.749,20,0.03,19
openai,lifestyle,baseline,20,5.0,20,5.0,20,3.55,20,,0,0.154,20,0.336,20,0.049,20,0.654,20,0.038,17
openai,lifestyle,constrained,20,5.0,20,5.0,20,4.0,20,5.0,20,0.154,20,0.336,20,0.049,20,0.654,20,0.049,15
