provider,category,classification,count,share
anthropic,cultural,no_cost_provided,40,1.0
anthropic,financial,no_cost_provided,34,0.85
anthropic,financial,well_below_thrifty,5,0.125
anthropic,financial,near_moderate,1,0.025
anthropic,lifestyle,no_cost_provided,40,1.0
deepseek,cultural,no_cost_provided,40,1.0
deepseek,financial,no_cost_provided,33,0.825
deepseek,financial,well_below_thrifty,7,0.175
deepseek,lifestyle,no_cost_provided,40,1.0
groq,cultural,no_cost_provided,40,1.0
groq,financial,no_cost_provided,33,0.825
groq,financial,well_below_thrifty,5,0.125
groq,financial,near_thrifty,1,0.025
groq,financial,near_moderate,1,0.025
groq,lifestyle,no_cost_provided,40,1.0
openai,cultural,no_cost_provided,40,1.0
openai,financial,no_cost_provided,34,0.85
openai,financial,well_below_thrifty,4,0.1
openai,financial,near_thrifty,2,0.05
openai,lifestyle,no_cost_provided,40,1.0
